
id,content_name,is_ott,분류코드,개봉일,감독_및_PD,시청자수,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
13,The Past is a Grotesque AnimalÂ,N,DRAMA_MYST_CONSPIRACY,2014-08-14,Jason Miller,71683,Theater,1,77,"Jon Brion, Dottie Alexander",USA,English,전체,artist band male rear nudity,NA,NA,NA,"Biography, Documentary, Music"
14,Sholem Aleichem: Laughing in the DarknessÂ,N,KVARIETY_032,2011-08-05,Joseph Dorman,42488,Theater,1,93,"Rachel Dratch, Peter Riegert",USA,English,전체,jewish identity,NA,NA,NA,Documentary
15,Alice Through the Looking GlassÂ,N,KVARIETY_063,2016-12-13,James Bobin,89573,Theater,1,113,"Johnny Depp, Alan Rickman",USA,English,12세,clock dark fantasy mad hatter,NA,NA,NA,"Adventure, Family, Fantasy"
16,Gone GirlÂ,N,KDRAMA_044,2014-12-10,David Fincher,898123,Theater,1,149,"Patrick Fugit, Sela Ward",USA,English,19금,based on novel disappearance missing person,NA,NA,NA,"Crime, Drama, Mystery"
17,No Good DeedÂ,N,MOVIE_COM_SATIRE,2014-07-21,Sam Miller,20424,Theater,1,84,"Leslie Bibb, Kate del Castillo",USA,English,15세,home invasion police officer shot police officer shot in the chest,NA,NA,NA,"Crime, Thriller"
18,House at the End of the StreetÂ,N,DRAMA_FANTASY_DRAGON,2012-07-21,Mark Tonderai,78693,영화관,1,101,"Jennifer Lawrence, Nolan Gerard Funk",Canada,English,15세,brother sister relationship death of sister female protagonist,NA,NA,NA,"Drama, Horror, Thriller"
19,ParkerÂ,N,DRAMA_WORK_POLITICS,2013-03-10,Taylor Hackford,174959,Theater,1,118,"Jason Statham, Clifton Collins Jr.",USA,English,19금,action hero disguise hospital,NA,NA,NA,"Action, Crime, Romance"
20,MaleficentÂ,N,MOVIE_ROM_COMEDY,2014-03-18,Robert Stromberg,452940,Theater,1,97,"Angelina Jolie Pitt, Sharlto Copley",USA,English,12세,curse dark fantasy fairy,NA,NA,NA,"Action, Adventure, Family"
21,The 5th WaveÂ,N,DRAMA_HORROR_GORE,2016-03-14,J Blakeson,96531,Theater,1,112,"ChloÃ« Grace Moretz, Maggie Siff",USA,English,15세,alien attack based on novel,NA,NA,NA,"Action, Adventure, Sci-Fi"
22,Something BorrowedÂ,N,DRAMA_WORK_FASHION,2011-04-18,Luke Greenfield,76217,Theater,1,112,"Ashley Williams, Steve Howey",USA,English,15세,best friend crush law school,NA,NA,NA,"Comedy, Drama, Romance"
23,PixelsÂ,N,DRAMA_MEDICAL_LAW,2015-06-24,Chris Columbus,164548,Theater,1,106,"Peter Dinklage, Adam Sandler",USA,English,15세,alien arcade game chase,NA,NA,NA,"Action, Animation, Comedy"
24,The Diary of a Teenage GirlÂ,N,KVARIETY_086,2015-11-26,Marielle Heller,52571,Theater,1,102,"Alexander SkarsgÃ¥rd, David Fine",USA,English,19금,1970s mother's boyfriend overalls,NA,NA,NA,"Drama, Romance"
25,Victor FrankensteinÂ,N,MOVIE_ANIME_EDUCATIONAL,2015-03-16,Paul McGuigan,53988,Theater,1,110,"Daniel Radcliffe, Spencer Wilding",USA,English,15세,assistant experiment frankenstein,NA,NA,NA,"Drama, Horror, Sci-Fi"
26,Water for ElephantsÂ,N,MOVIE_CRIME_SERIAL,2011-07-12,Francis Lawrence,158376,Theater,1,120,"Robert Pattinson, Christoph Waltz",USA,English,15세,circus circus vargas elephant,NA,NA,NA,"Drama, Romance"
27,When the Lights Went OutÂ,N,DRAMA_ROM_FIRSTLOVE,2012-03-24,Pat Holden,90379,영화관,1,86,"Alan Brent, Martin Compston",UK,English,전체,father daughter relationship poltergeist spirit,NA,NA,NA,Horror
28,The FPÂ,N,MOVIE_THR_PSYCHO,2011-04-24,Brandon Trost,51463,Theater,1,82,"Clifton Collins Jr., Sean Whalen",USA,English,19금,abbreviation in title based on short film competition dancing,NA,NA,NA,Comedy
29,Supporting CharactersÂ,N,KDRAMA_046,2012-04-16,Daniel Schechter,42323,Theater,1,87,"Lena Dunham, Kevin Corrigan",USA,English,전체,film editor kiss marriage proposal,NA,NA,NA,Comedy
30,Won't Back DownÂ,N,MOVIE_ANIME_GEN,2012-04-04,Daniel Barnz,84811,Theater,1,121,"Holly Hunter, Rosie Perez",USA,English,12세,children inner city parent,NA,NA,NA,Drama
31,RED 2Â,N,DRAMA_ROM_MELODRAMA,2013-09-13,Dean Parisot,234363,Theater,1,116,"Bruce Willis, Anthony Hopkins",USA,English,15세,cia cia agent rescue,NA,NA,NA,"Action, Comedy, Crime"
32,This Is the EndÂ,N,KDRAMA_075,2013-01-19,Evan Goldberg,329301,Theater,1,107,"Channing Tatum, James Franco",USA,English,19금,apocalypse celebrity ensemble cast,NA,NA,NA,"Comedy, Fantasy"
33,MargaretÂ,N,KVARIETY_147,2011-07-13,Kenneth Lonergan,41329,Theater,1,186,"Matt Damon, Kieran Culkin",USA,English,19금,accident bus loss of virginity,NA,NA,NA,Drama
34,Shanghai CallingÂ,N,DRAMA_MEDICAL_PSY,2012-07-02,Daniel Hsia,30531,Theater,1,100,"Alan Ruck, Daniel Henney",USA,English,15세,A film titled Shanghai CallingÂ.,NA,NA,NA,"Comedy, Drama, Romance"
35,CoriolanusÂ,N,KDRAMA_093,2011-09-14,Ralph Fiennes,46991,영화관,1,123,"Gerard Butler, Ashraf Barhom",UK,English,19금,modern day adaptation reference to william shakespeare shakespeare in modern dress,NA,NA,NA,"Drama, Thriller, War"
36,Diary of a Wimpy KidÂ,N,MOVIE_COM_ROM,2010-12-25,Thor Freudenthal,57999,Theater,1,94,"ChloÃ« Grace Moretz, Zachary Gordon",USA,English,12세,cheese diary friend,NA,NA,NA,"Comedy, Family"
37,Child 44Â,N,KDRAMA_055,2015-06-11,Daniel Espinosa,49737,영화관,1,137,"Tom Hardy, Fares Fares",Czech Republic,English,19금,child murderer murder sex,NA,NA,NA,"Crime, Drama, Thriller"
38,VacationÂ,N,MOVIE_FANTASY_MAGIC,2015-04-25,John Francis Daley,126051,Theater,1,99,"Chris Hemsworth, Norman Reedus",USA,English,19금,amusement park dysfunctional family road trip,NA,NA,NA,"Adventure, Comedy"
39,What to Expect When You're ExpectingÂ,N,KDRAMA_056,2012-07-01,Kirk Jones,78491,Theater,1,110,"Anna Kendrick, Dennis Quaid",USA,English,15세,baby expecting twins hawaiian shirt,NA,NA,NA,"Comedy, Drama, Romance"
40,Mad Max: Fury RoadÂ,N,KVARIETY_007,2015-12-14,George Miller,623720,영화관,1,120,"Tom Hardy, Charlize Theron",Australia,English,19금,australia desert escape,NA,NA,NA,"Action, Adventure, Sci-Fi"
41,The 33Â,N,DRAMA_FAM_GEN,2015-09-26,Patricia Riggen,39278,영화관,1,127,"Marco TreviÃ±o, James Brolin",Chile,English,15세,disaster movie mine minister,NA,NA,NA,"Biography, Drama, History"
42,The CallÂ,N,MOVIE_ANIME_FAMILY,2013-12-16,Brad Anderson,170921,Theater,1,94,"Michael Imperioli, Tara Platt",USA,English,19금,911 operator calling 911 die hard scenario,NA,NA,NA,"Crime, Thriller"
43,Bucky Larson: Born to Be a StarÂ,N,MOVIE_FANTASY_GRIMREAPER,2011-09-02,Tom Brady,66141,Theater,1,97,"Don Johnson, Kevin Nealon",USA,English,19금,diner eating a banana masturbation,NA,NA,NA,Comedy
44,The Brain That SingsÂ,N,DRAMA_HORROR_GHOST,2013-02-09,Amal Al-Agroobi,56482,영화관,1,62,NA,United Arab Emirates,Arabic,전체,autism middle east music therapy,NA,NA,NA,"Documentary, Family"
45,SharkskinÂ,N,KVARIETY_061,2015-11-06,Dan Perri,14573,Theater,1,100,"Travis Myers, David Proval",USA,English,전체,A film titled SharkskinÂ.,NA,NA,NA,"Comedy, Drama, Mystery"
46,The InfiltratorÂ,N,KVARIETY_186,2016-05-10,Brad Furman,33221,영화관,1,127,"Joseph Gilgun, Amy Ryan",UK,English,19금,A film titled The InfiltratorÂ.,NA,NA,NA,"Biography, Crime, Drama"
47,BlackthornÂ,N,MOVIE_SF_DYSTOPIA,2011-03-14,Mateo Gil,80492,영화관,1,102,"Sam Shepard, Dominique McElligott",Spain,English,19금,assumed identity bolivia butch cassidy,NA,NA,NA,"Action, Adventure, Western"
48,Furry VengeanceÂ,N,KVARIETY_121,2010-04-02,Roger Kumble,70308,Theater,1,92,"Brendan Fraser, Brooke Shields",USA,English,12세,animal bear land developer,NA,NA,NA,"Comedy, Family"
49,Free BirdsÂ,N,KVARIETY_126,2013-12-03,Jimmy Hayward,80858,Theater,1,91,"Amy Poehler, Carlos Ponce",USA,English,12세,chipmunk hunting dog sabotage,NA,NA,NA,"Adventure, Animation, Comedy"
50,The TimberÂ,N,MOVIE_MUSIC_SOUNDTRACK,2015-05-18,Anthony O'Brien,23766,Theater,1,81,"James Ransone, Maria Doyle Kennedy",USA,English,전체,A film titled The TimberÂ.,NA,NA,NA,"Adventure, Drama, Western"
51,Area 51Â,N,MOVIE_ANIME_BOYS,2015-10-17,Oren Peli,81133,Theater,1,91,"Glenn Campbell, Sandra Staggs",USA,English,19금,alien alien abduction conspiracy,NA,NA,NA,"Horror, Sci-Fi, Thriller"
52,The SweeneyÂ,N,KDRAMA_071,2012-12-17,Nick Love,77237,영화관,1,112,"Hayley Atwell, Ray Winstone",UK,English,19금,bank criminal detective,NA,NA,NA,"Action, Crime, Drama"
53,CarnageÂ,N,DRAMA_ROM_YOUNGADULT,2011-02-08,Roman Polanski,191295,영화관,1,80,"Kate Winslet, Christoph Waltz",France,English,19금,based on play meeting salesman,NA,NA,NA,"Comedy, Drama"
54,Beneath Hill 60Â,N,DRAMA_WORK_OFFICE,2010-12-25,Jeremy Sims,18329,영화관,1,122,"Harrison Gilbertson, Gyton Grantley",Australia,English,19금,blue clay diversion ends with biographical notes,NA,NA,NA,"Drama, History, War"
55,13 HoursÂ,N,DRAMA_ROM_FIRSTLOVE,2016-10-16,Michael Bay,78753,Theater,1,144,"Toby Stephens, James Badge Dale",USA,English,19금,based on true story cia agent libya,NA,NA,NA,"Action, Drama, Thriller"
56,Little BoyÂ,N,MOVIE_ACTION_SUPERHERO,2015-10-19,Alejandro Monteverde,87194,영화관,1,106,"Tom Wilkinson, Cary-Hiroyuki Tagawa",Mexico,English,15세,A film titled Little BoyÂ.,NA,NA,NA,"Drama, War"
57,Iron Man 2Â,N,MOVIE_DOC_MUSIC,2010-07-23,Jon Favreau,978869,Theater,1,124,"Robert Downey Jr., Scarlett Johansson",USA,English,15세,hammer military monaco,NA,NA,NA,"Action, Adventure, Sci-Fi"
58,The World Is MineÂ,N,KVARIETY_175,2015-09-05,Nicolae Constantin Tanase,89235,영화관,1,104,"Iulia Ciochina, Ana Maria Guran",Romania,Romanian,전체,A film titled The World Is MineÂ.,NA,NA,NA,Drama
59,The Legend of HerculesÂ,N,MOVIE_SF_CYBERPUNK,2014-02-27,Renny Harlin,95194,Theater,1,99,"Roxanne McKee, Luke Newberry",USA,English,15세,ancient greece forbidden love hercules,NA,NA,NA,"Action, Adventure, Fantasy"
60,Rodeo GirlÂ,N,KVARIETY_196,2016-03-24,Joel Paul Reisig,35351,Theater,1,108,"Carrie Bradstreet, Joel Paul Reisig",USA,English,12세,A film titled Rodeo GirlÂ.,NA,NA,NA,Family
61,A Lonely Place to DieÂ,N,KDRAMA_021,2011-09-13,Julian Gilbey,32160,영화관,1,99,"Ed Speleers, Eamonn Walker",UK,English,19금,kidnapper mountaineering scotland,NA,NA,NA,"Action, Adventure, Crime"
62,A Haunted House 2Â,N,KDRAMA_096,2014-01-25,Michael Tiddes,75280,Theater,1,86,"Ashley Rickards, Essence Atkins",USA,English,19금,bare breasts parody sexual innuendo,NA,NA,NA,"Comedy, Fantasy"
63,PlushÂ,N,DRAMA_WORK_ENGINEERING,2013-06-02,Catherine Hardwicke,57571,Theater,1,99,"Frances Fisher, James Kyson",USA,English,19금,gay interest guitarist obsessed fan,NA,NA,NA,Thriller
64,X-Men: First ClassÂ,N,KVARIETY_051,2011-05-20,Matthew Vaughn,988418,Theater,1,132,"Jennifer Lawrence, Michael Fassbender",USA,English,15세,cia cia agent mutant,NA,NA,NA,"Action, Adventure, Sci-Fi"
65,Black SwanÂ,N,MOVIE_COM_WORK,2010-11-11,Darren Aronofsky,964805,Theater,1,108,"Natalie Portman, Mila Kunis",USA,English,19금,ballerina ballet fear,NA,NA,NA,"Drama, Thriller"
66,CriminalÂ,N,DRAMA_SOC_GEN,2016-02-20,Ariel Vromen,88782,영화관,1,113,"Gary Oldman, Jordi MollÃ ",UK,English,19금,cia husband wife relationship memory,NA,NA,NA,"Action, Crime, Drama"
67,The Pirates! Band of MisfitsÂ,N,MOVIE_FAM_SINGLEPARENT,2012-06-21,Peter Lord,41256,영화관,1,88,"Salma Hayek, Russell Tovey",UK,English,12세,charles darwin cutlass pirate,NA,NA,NA,"Adventure, Animation, Comedy"
68,Girl HouseÂ,N,MOVIE_ANIME_HORROR,2014-09-11,Jon Knautz,86637,영화관,1,99,"Camren Bicondova, Adam DiMarco",Canada,English,전체,college student disfigured face house,NA,NA,NA,"Horror, Thriller"
69,ArousedÂ,N,KVARIETY_128,2013-09-16,Deborah Anderson,25795,Theater,1,66,"Lisa Ann, Jesse Jane",USA,English,전체,aroused photography pornography documentary,NA,NA,NA,Documentary
70,Antarctica: A Year on IceÂ,N,MOVIE_MUSIC_JAZZ,2013-03-03,Anthony Powell,60991,영화관,1,91,"Josh Swanson, Tom Hamann",New Zealand,English,12세,antarctica,NA,NA,NA,"Adventure, Biography, Documentary"
71,TrustÂ,N,KDRAMA_075,2010-01-18,David Schwimmer,59156,Theater,1,106,"Noah Emmerich, Jordan Trovillion",USA,English,19금,counselor fbi revenge motive,NA,NA,NA,"Crime, Drama, Thriller"
72,Never Back Down 2: The BeatdownÂ,N,DRAMA_MEDICAL_LAW,2011-04-26,Michael Jai White,75598,Theater,1,90,"Michael Jai White, Alex Meraz",USA,English,19금,bad cop college second part,NA,NA,NA,"Action, Drama, Sport"
73,HaywireÂ,N,KDRAMA_053,2011-08-22,Steven Soderbergh,99790,영화관,1,93,"Channing Tatum, Michael Fassbender",Ireland,English,19금,die hard scenario one woman army rescue,NA,NA,NA,"Action, Thriller"
74,1911Â,N,KVARIETY_147,2011-01-22,Li Zhang,82163,영화관,1,121,"Bingbing Li, Joan Chen",China,Mandarin,19금,china disarming someone qing dynasty,NA,NA,NA,"Action, Adventure, Drama"
75,AnnabelleÂ,N,KVARIETY_115,2014-05-27,John R. Leonetti,100820,Theater,1,99,"Alfre Woodard, Annabelle Wallis",USA,English,19금,horror movie prequel murder paranormal activity,NA,NA,NA,"Horror, Mystery"
76,Taken 3Â,N,KVARIETY_001,2014-03-20,Olivier Megaton,229242,영화관,1,115,"Liam Neeson, Dougray Scott",France,English,15세,betrayal death final showdown,NA,NA,NA,"Action, Thriller"
77,Muppets Most WantedÂ,N,DRAMA_THR_SURVIVAL,2014-06-09,James Bobin,66980,Theater,1,119,"Ty Burrell, Tina Fey",USA,English,12세,europe frog gulag,NA,NA,NA,"Adventure, Comedy, Crime"
78,Think Like a Man TooÂ,N,DRAMA_WORK_POLITICS,2014-11-14,Tim Story,21422,Theater,1,106,"Romany Malco, Regina Hall",USA,English,15세,african american imperative in title las vegas nevada,NA,NA,NA,"Comedy, Romance"
79,Fun SizeÂ,N,KVARIETY_078,2012-02-04,Josh Schwartz,21021,Theater,1,86,"Thomas McDonell, Jackson Nicoll",USA,English,15세,adult humor best friend friend,NA,NA,NA,"Adventure, Comedy"
80,Cop OutÂ,N,KVARIETY_063,2010-07-08,Kevin Smith,104076,Theater,1,107,"Bruce Willis, Tracy Morgan",USA,English,19금,baseball card detective partner,NA,NA,NA,"Action, Comedy, Crime"
81,It's a Wonderful AfterlifeÂ,N,MOVIE_SF_DYSTOPIA,2010-06-23,Gurinder Chadha,13248,영화관,1,100,"Sendhil Ramamurthy, Mark Addy",UK,English,15세,afterlife indian murder,NA,NA,NA,"Comedy, Drama, Horror"
82,Furious 7Â,N,KDRAMA_048,2015-01-05,James Wan,517578,Theater,1,140,"Jason Statham, Paul Walker",USA,English,15세,car falling off a cliff hospital revenge,NA,NA,NA,"Action, Crime, Thriller"
83,Dracula UntoldÂ,N,KVARIETY_133,2014-02-24,Gary Shore,228200,Theater,1,92,"Dominic Cooper, Sarah Gadon",USA,English,15세,death of wife dracula tarantula,NA,NA,NA,"Action, Drama, Fantasy"
84,Ex MachinaÂ,N,KVARIETY_020,2015-02-23,Alex Garland,502849,영화관,1,108,"Elina Alminas, Sonoya Mizuno",UK,English,19금,artificial intelligence robot robot human relationship,NA,NA,NA,"Drama, Mystery, Sci-Fi"
85,The Monuments MenÂ,N,KDRAMA_005,2014-07-11,George Clooney,144573,Theater,1,118,"Bill Murray, Matt Damon",USA,English,15세,art art expert nazi stolen art,NA,NA,NA,"Drama, War"
86,Godzilla ResurgenceÂ,N,KVARIETY_145,2016-08-15,Hideaki Anno,15901,영화관,1,120,"Mark Chinnery, Shin'ya Tsukamoto",Japan,Japanese,전체,blood godzilla monster,NA,NA,NA,"Action, Adventure, Drama"
87,50/50Â,N,KDRAMA_052,2011-10-02,Jonathan Levine,314863,Theater,1,100,"Joseph Gordon-Levitt, Anna Kendrick",USA,English,19금,best friend cancer survival rate,NA,NA,NA,"Comedy, Drama, Romance"
88,Indie Game: The MovieÂ,N,KDRAMA_034,2012-03-21,Lisanne Pajot,78233,영화관,1,103,"Jonathan Blow, Edmund McMillen",Canada,English,전체,movie in title,NA,NA,NA,Documentary
89,Diary of a Wimpy Kid: Rodrick RulesÂ,N,KDRAMA_028,2011-04-06,David Bowers,37084,Theater,1,99,"Zachary Gordon, Rachael Harris",USA,English,12세,brother middle school no opening credits,NA,NA,NA,"Comedy, Family"
90,Before I Go to SleepÂ,N,KDRAMA_006,2014-05-24,Rowan Joffe,87149,영화관,1,92,"Colin Firth, Ben Crompton",UK,English,19금,amnesia female nudity infidelity,NA,NA,NA,"Drama, Mystery, Thriller"
91,AugustÂ,N,KDRAMA_020,2011-01-22,Eldar Rapaport,66106,Theater,1,99,"Murray Bartlett, Adrian Gonzalez",USA,English,전체,apartment gay parent job interview,NA,NA,NA,"Drama, Romance"
92,WanderlustÂ,N,KDRAMA_033,2012-09-17,David Wain,78316,Theater,1,98,"Justin Theroux, Lauren Ambrose",USA,English,19금,childbirth female frontal nudity nude protest,NA,NA,NA,Comedy
93,Let's Kill Ward's WifeÂ,N,MOVIE_ANIME_SF,2014-08-22,Scott Foley,98017,Theater,1,82,"Donald Faison, Greg Grunberg",USA,English,전체,apology death group of friends,NA,NA,NA,"Comedy, Crime"
94,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon TattooÂ,N,DRAMA_MEDICAL_GEN,2013-11-10,Craig Moss,66426,Theater,1,80,"French Stewart, Ashley Martin",USA,English,19금,exorcism female nudity haunted house,NA,NA,NA,Comedy
95,Green Street 3: Never Back DownÂ,N,MOVIE_ACTION_HEIST,2013-10-15,James Nunn,48374,영화관,1,93,"Spencer Wilding, Mark Wingett",UK,English,19금,bare breasts firm hooliganism,NA,NA,NA,"Action, Drama"
96,Go for It!Â,N,KVARIETY_123,2011-07-17,Carmen Marron,53497,Theater,1,105,"Jossara Jinaro, Aimee Garcia",USA,English,15세,exclamation point in title imperative in title punctuation in title,NA,NA,NA,"Drama, Musical"
97,Our Brand Is CrisisÂ,N,KVARIETY_010,2015-05-28,David Gordon Green,83527,Theater,1,107,"Dominic Flores, Zoe Kazan",USA,English,19금,bolivia box office flop inspired by documentary,NA,NA,NA,"Comedy, Drama"
98,Fast FiveÂ,N,KVARIETY_014,2011-08-26,Justin Lin,352067,Theater,1,132,"Paul Walker, Vin Diesel",USA,English,15세,drug lord drugs federal agent,NA,NA,NA,"Action, Crime, Thriller"
99,22 Jump StreetÂ,N,DRAMA_FANTASY_HISTORICAL,2014-07-22,Phil Lord,293364,Theater,1,112,"Channing Tatum, Craig Roberts",USA,English,19금,college drugs hidden camera,NA,NA,NA,"Action, Comedy, Crime"
100,Spring BreakersÂ,N,KVARIETY_026,2012-06-26,Harmony Korine,111872,Theater,1,94,"James Franco, Heather Morris",USA,English,19금,kissing a dead body repeated dialogue sex in pool,NA,NA,NA,"Crime, Drama"
101,TranscendenceÂ,N,KDRAMA_085,2014-01-19,Wally Pfister,222515,영화관,1,119,"Johnny Depp, Morgan Freeman",UK,English,15세,artificial intelligence consciousness power outage,NA,NA,NA,"Drama, Mystery, Romance"
102,Soul SurferÂ,N,MOVIE_MUSIC_HIPHOP,2011-09-09,Sean McNamara,38653,Theater,1,106,"Dennis Quaid, Chris Brochu",USA,English,12세,christian christian film shark,NA,NA,NA,"Biography, Drama, Family"
103,KrampusÂ,N,DRAMA_FANTASY_WEREWOLF,2015-12-02,Michael Dougherty,36280,Theater,1,98,"Adam Scott, Conchata Ferrell",USA,English,15세,christmas german holiday,NA,NA,NA,"Comedy, Fantasy, Horror"
104,MaxÂ,N,MOVIE_THR_SURVIVAL,2015-09-20,Boaz Yakin,98767,Theater,1,111,"Jay Hernandez, Joseph Julian Soria",USA,English,12세,afghanistan death of marine dog,NA,NA,NA,"Adventure, Family"
105,Meek's CutoffÂ,N,MOVIE_MUSIC_TRADITIONAL,2010-05-03,Kelly Reichardt,42724,Theater,1,104,"Bruce Greenwood, Zoe Kazan",USA,English,12세,desert oregon survival,NA,NA,NA,"Drama, Western"
106,HugoÂ,N,DRAMA_THR_POLICE,2011-07-08,Martin Scorsese,397124,Theater,1,126,"ChloÃ« Grace Moretz, Christopher Lee",USA,English,12세,automaton mechanical railway station,NA,NA,NA,"Adventure, Drama, Family"
107,Wreck-It RalphÂ,N,DRAMA_HORROR_GHOST,2012-10-04,Rich Moore,523545,Theater,1,101,"Jack McBrayer, Sarah Silverman",USA,English,12세,arcade candy glitch,NA,NA,NA,"Adventure, Animation, Comedy"
108,The DilemmaÂ,N,KVARIETY_106,2011-07-25,Ron Howard,65116,Theater,1,111,"Channing Tatum, Clint Howard",USA,English,15세,best friend friend investigation,NA,NA,NA,"Comedy, Drama"
109,Oz the Great and PowerfulÂ,N,DRAMA_WORK_FINANCE,2013-06-10,Sam Raimi,349537,Theater,1,130,"Tim Holmes, Mila Kunis",USA,English,12세,circus magic magician,NA,NA,NA,"Adventure, Family, Fantasy"
110,Kung Fu KillerÂ,N,DRAMA_WORK_TRANSPORT,2014-06-28,Teddy Chan,72242,영화관,1,100,"Siu-Wong Fan, Charlie Yeung",China,Cantonese,전체,fight kung fu martial arts,NA,NA,NA,"Action, Drama"
111,Dolphin TaleÂ,N,DRAMA_WORK_ART,2011-06-22,Charles Martin Smith,74732,Theater,1,113,"Morgan Freeman, Michael Roark",USA,English,12세,boy dolphin prosthetics,NA,NA,NA,"Drama, Family"
112,"For a Good Time, Call...Â",N,KVARIETY_108,2012-05-25,Jamie Travis,71464,Theater,1,88,"James Wolk, Ari Graynor",USA,English,19금,friend friendship gay,NA,NA,NA,Comedy
113,The Young MessiahÂ,N,KVARIETY_079,2016-09-17,Cyrus Nowrasteh,93599,Theater,1,111,"Clive Russell, Vincent Walsh",USA,English,15세,based on novel,NA,NA,NA,Drama
114,SouthpawÂ,N,MOVIE_FAM_STEPFAMILY,2015-06-25,Antoine Fuqua,234026,Theater,1,124,"Jake Gyllenhaal, 50 Cent",USA,English,19금,boxer boxing training death of wife,NA,NA,NA,"Drama, Sport"
115,Sherlock Holmes: A Game of ShadowsÂ,N,KVARIETY_160,2011-08-23,Guy Ritchie,404053,Theater,1,129,"Robert Downey Jr., Eddie Marsan",USA,English,15세,factory gypsy investigation,NA,NA,NA,"Action, Adventure, Crime"
116,Your HighnessÂ,N,KVARIETY_062,2011-05-25,David Gordon Green,147801,Theater,1,102,"Natalie Portman, Zooey Deschanel",USA,English,19금,knight prince quest,NA,NA,NA,"Adventure, Comedy, Fantasy"
117,Good DeedsÂ,N,DRAMA_WORK_EDUCATION,2012-01-11,Tyler Perry,12807,Theater,1,110,"Eddie Cibrian, Phylicia Rashad",USA,English,15세,businessman fight mean brother,NA,NA,NA,"Comedy, Drama, Romance"
118,The Lost Medallion: The Adventures of Billy StoneÂ,N,KDRAMA_072,2013-01-12,Bill Muir,55204,영화관,1,97,"Alex Kendrick, Jansen Panettiere",Thailand,English,12세,cave cobra island,NA,NA,NA,"Adventure, Family, Fantasy"
119,Harry Potter and the Deathly Hallows: Part IIÂ,N,KVARIETY_087,2011-11-01,Matt Birch,30532,영화관,1,93,"Rupert Grint, Dave Legeno",UK,English,전체,A film titled Harry Potter and the Deathly Hallows: Part IIÂ.,NA,NA,NA,"Action, Fantasy"
120,AirliftÂ,N,MOVIE_COM_TEEN,2016-12-07,Raja Menon,58969,영화관,1,130,"Nimrat Kaur, Sameer Ali Khan",India,Hindi,전체,1990s businessman evacuation,NA,NA,NA,"Action, Drama, History"
