업종,연령대,성별,구분,항목,응답수
뷰티 디바이스,20~29세,남성,KBF 1순위,할인/이벤트,2
뷰티 디바이스,20~29세,남성,KBF 1순위,A/S,1
뷰티 디바이스,20~29세,남성,KBF 1순위,"부가기능 (다양한 모드, 강도 조절 등)",3
뷰티 디바이스,20~29세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",1
뷰티 디바이스,20~29세,남성,KBF 1순위,제조 국가,2
뷰티 디바이스,20~29세,남성,KBF 1순위,유행,1
뷰티 디바이스,20~29세,남성,KBF 1순위,제품 디자인,0
뷰티 디바이스,20~29세,남성,KBF 1순위,"매장(점원, 매장광고, 진열 등)",0
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",성능/기능/작동 방식,23
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","안전성(유해물질, 승인 여부 등)",12
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",가격,17
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문,13
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",관리 편의성,8
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",12
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",회사 신뢰도,7
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","부가기능 (다양한 모드, 강도 조절 등)",8
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",A/S,7
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",전문가/인플루언서 추천,7
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",할인/이벤트,10
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",제품 디자인,6
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",1
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",제조 국가,2
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","매장(점원, 매장광고, 진열 등)",1
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",유행,1
뷰티 디바이스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",리뷰,0
뷰티 디바이스,20~29세,남성,광고영향력,전혀 없다,0
뷰티 디바이스,20~29세,남성,광고영향력,없는 편이다,2
뷰티 디바이스,20~29세,남성,광고영향력,보통이다,16
뷰티 디바이스,20~29세,남성,광고영향력,있는 편이다,23
뷰티 디바이스,20~29세,남성,광고영향력,매우 있다,6
건강기능식품,20~29세,남성,최근 6개월 내 구매 경험,있다,76
건강기능식품,20~29세,남성,최근 6개월 내 구매 경험,없다,42
건강기능식품,20~29세,남성,향후 6개월 내 구매 의향,구매의향이 있다,76
건강기능식품,20~29세,남성,향후 6개월 내 구매 의향,없다,42
건강기능식품,20~29세,남성,KBF 1순위,영양성분/함량,17
건강기능식품,20~29세,남성,KBF 1순위,구성 원재료,15
건강기능식품,20~29세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",10
건강기능식품,20~29세,남성,KBF 1순위,가격,11
건강기능식품,20~29세,남성,KBF 1순위,주위의 평판/입소문,5
건강기능식품,20~29세,남성,KBF 1순위,회사 신뢰도,8
건강기능식품,20~29세,남성,KBF 1순위,제품 섭취 타입(고체형/액상형 등),7
건강기능식품,20~29세,남성,KBF 1순위,재료 원산지,3
건강기능식품,20~29세,남성,KBF 1순위,전문가/인플루언서 추천,1
건강기능식품,20~29세,남성,KBF 1순위,양/용량,4
건강기능식품,20~29세,남성,KBF 1순위,할인/이벤트,3
건강기능식품,20~29세,남성,KBF 1순위,맛,2
건강기능식품,20~29세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",1
건강기능식품,20~29세,남성,KBF 1순위,패키지/포장 형태,0
건강기능식품,20~29세,남성,KBF 1순위,"매장(점원, 매장광고, 진열 등)",2
건강기능식품,20~29세,남성,KBF 1순위,효능,0
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",영양성분/함량,45
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",가격,45
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",구성 원재료,26
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",22
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",회사 신뢰도,23
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문,13
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",제품 섭취 타입(고체형/액상형 등),12
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",재료 원산지,7
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",양/용량,14
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",할인/이벤트,12
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",전문가/인플루언서 추천,15
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",맛,8
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",패키지/포장 형태,1
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",2
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","매장(점원, 매장광고, 진열 등)",7
건강기능식품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",효능,0
건강기능식품,20~29세,남성,광고영향력,전혀 없다,1
건강기능식품,20~29세,남성,광고영향력,없는 편이다,10
건강기능식품,20~29세,남성,광고영향력,보통이다,28
건강기능식품,20~29세,남성,광고영향력,있는 편이다,44
건강기능식품,20~29세,남성,광고영향력,매우 있다,6
건강보조기구,20~29세,남성,최근 6개월 내 구매 경험,있다,57
건강보조기구,20~29세,남성,최근 6개월 내 구매 경험,없다,61
건강보조기구,20~29세,남성,향후 6개월 내 구매 의향,구매의향이 있다,52
건강보조기구,20~29세,남성,향후 6개월 내 구매 의향,없다,66
건강보조기구,20~29세,남성,KBF 1순위,성능/기능/작동 방식,18
건강보조기구,20~29세,남성,KBF 1순위,가격,13
건강보조기구,20~29세,남성,KBF 1순위,"안전성(유해물질, 승인 여부 등)",4
건강보조기구,20~29세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",10
건강보조기구,20~29세,남성,KBF 1순위,주위의 평판/입소문,4
건강보조기구,20~29세,남성,KBF 1순위,회사 신뢰도,5
건강보조기구,20~29세,남성,KBF 1순위,A/S,2
건강보조기구,20~29세,남성,KBF 1순위,전문가/인플루언서 추천,4
건강보조기구,20~29세,남성,KBF 1순위,할인/이벤트,2
건강보조기구,20~29세,남성,KBF 1순위,관리 편의성,1
건강보조기구,20~29세,남성,KBF 1순위,"부가기능 (다양한 모드, 강도 조절 등)",4
건강보조기구,20~29세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",1
건강보조기구,20~29세,남성,KBF 1순위,유행,2
건강보조기구,20~29세,남성,KBF 1순위,제품 디자인,0
건강보조기구,20~29세,남성,KBF 1순위,"매장(점원, 매장광고, 진열 등)",1
건강보조기구,20~29세,남성,KBF 1순위,사용 경험,0
건강보조기구,20~29세,남성,KBF 1순위,리뷰,0
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",성능/기능/작동 방식,40
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",가격,35
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)","안전성(유해물질, 승인 여부 등)",12
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",A/S,10
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문,11
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",15
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)","부가기능 (다양한 모드, 강도 조절 등)",19
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",관리 편의성,9
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",회사 신뢰도,15
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",할인/이벤트,10
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",전문가/인플루언서 추천,8
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",제품 디자인,10
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",2
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",유행,3
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)","매장(점원, 매장광고, 진열 등)",4
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",리뷰,0
건강보조기구,20~29세,남성,"KBF 1,2,3순위 (중복응답)",사용 경험,0
건강보조기구,20~29세,남성,광고영향력,전혀 없다,2
건강보조기구,20~29세,남성,광고영향력,없는 편이다,4
건강보조기구,20~29세,남성,광고영향력,보통이다,25
건강보조기구,20~29세,남성,광고영향력,있는 편이다,34
건강보조기구,20~29세,남성,광고영향력,매우 있다,6
국내 숙박 예약서비스,20~29세,남성,최근 6개월 내 구매 경험,있다,150
국내 숙박 예약서비스,20~29세,남성,최근 6개월 내 구매 경험,없다,84
국내 숙박 예약서비스,20~29세,남성,향후 6개월 내 구매 의향,구매의향이 있다,166
국내 숙박 예약서비스,20~29세,남성,향후 6개월 내 구매 의향,없다,68
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,저렴한 가격/특가 상품,40
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,"편의성 (이용, 예약, 환불 등)",28
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,"다양한 숙소 종류 예약 가능(호텔, 펜션 등)",18
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,다양한 숙소 보유,13
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,"숙소 검색 편의성(위치, 테마 등)",12
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,숙소별 디테일한 정보 제공,11
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,이용자 리뷰 제공 퀄리티,5
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,주위의 평판/입소문/후기,7
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,"포인트, 적립, 멤버십 혜택",10
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",14
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,고객 응대 서비스,8
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,App 완성도 (UI 및 속도 등),8
국내 숙박 예약서비스,20~29세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",5
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",저렴한 가격/특가 상품,81
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","편의성 (이용, 예약, 환불 등)",73
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","다양한 숙소 종류 예약 가능(호텔, 펜션 등)",41
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","숙소 검색 편의성(위치, 테마 등)",51
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",다양한 숙소 보유,36
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",숙소별 디테일한 정보 제공,23
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",이용자 리뷰 제공 퀄리티,21
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문/후기,26
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","포인트, 적립, 멤버십 혜택",31
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",28
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",고객 응대 서비스,24
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",App 완성도 (UI 및 속도 등),18
국내 숙박 예약서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",9
국내 숙박 예약서비스,20~29세,남성,광고영향력,전혀 없다,3
국내 숙박 예약서비스,20~29세,남성,광고영향력,없는 편이다,22
국내 숙박 예약서비스,20~29세,남성,광고영향력,보통이다,59
국내 숙박 예약서비스,20~29세,남성,광고영향력,있는 편이다,82
국내 숙박 예약서비스,20~29세,남성,광고영향력,매우 있다,13
캠핑용품,20~29세,남성,최근 6개월 내 구매 경험,있다,44
캠핑용품,20~29세,남성,최근 6개월 내 구매 경험,없다,190
캠핑용품,20~29세,남성,향후 6개월 내 구매 의향,구매의향이 있다,52
캠핑용품,20~29세,남성,향후 6개월 내 구매 의향,없다,182
캠핑용품,20~29세,남성,KBF 1순위,"품질(내구성, 마감 등)",10
캠핑용품,20~29세,남성,KBF 1순위,"성능 (방수, 방한, 편의 기능, 안정성)",7
캠핑용품,20~29세,남성,KBF 1순위,가격,10
캠핑용품,20~29세,남성,KBF 1순위,"이용 편의성(설치, 해체, 보관 등)",5
캠핑용품,20~29세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",6
캠핑용품,20~29세,남성,KBF 1순위,휴대성,7
캠핑용품,20~29세,남성,KBF 1순위,제품 디자인,4
캠핑용품,20~29세,남성,KBF 1순위,주위의 평판/입소문,0
캠핑용품,20~29세,남성,KBF 1순위,A/S,1
캠핑용품,20~29세,남성,KBF 1순위,트렌디함,2
캠핑용품,20~29세,남성,KBF 1순위,크기/중량,3
캠핑용품,20~29세,남성,KBF 1순위,친환경적,3
캠핑용품,20~29세,남성,KBF 1순위,브랜드 원산지,3
캠핑용품,20~29세,남성,KBF 1순위,구입 용이(판매처 많음),0
캠핑용품,20~29세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",1
캠핑용품,20~29세,남성,KBF 1순위,이벤트/프로모션,0
캠핑용품,20~29세,남성,KBF 1순위,매장 환경,1
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","품질(내구성, 마감 등)",26
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",가격,29
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","성능 (방수, 방한, 편의 기능, 안정성)",17
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","이용 편의성(설치, 해체, 보관 등)",20
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",휴대성,16
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",제품 디자인,9
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",10
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문,3
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",크기/중량,5
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",A/S,7
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",구입 용이(판매처 많음),3
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",트렌디함,8
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",친환경적,7
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",이벤트/프로모션,5
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",브랜드 원산지,6
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",4
캠핑용품,20~29세,남성,"KBF 1,2,3순위 (중복응답)",매장 환경,3
캠핑용품,20~29세,남성,광고영향력,전혀 없다,2
캠핑용품,20~29세,남성,광고영향력,없는 편이다,11
캠핑용품,20~29세,남성,광고영향력,보통이다,23
캠핑용품,20~29세,남성,광고영향력,있는 편이다,23
캠핑용품,20~29세,남성,광고영향력,매우 있다,4
인테리어 서비스,20~29세,남성,최근 6개월 내 구매 경험,있다,64
인테리어 서비스,20~29세,남성,최근 6개월 내 구매 경험,없다,170
인테리어 서비스,20~29세,남성,향후 6개월 내 구매 의향,구매의향이 있다,89
인테리어 서비스,20~29세,남성,향후 6개월 내 구매 의향,없다,145
인테리어 서비스,20~29세,남성,KBF 1순위,다양한 상품 판매,14
인테리어 서비스,20~29세,남성,KBF 1순위,인테리어 제품별 디테일한 정보 제공,8
인테리어 서비스,20~29세,남성,KBF 1순위,트렌디한 인테리어 예시 보유,8
인테리어 서비스,20~29세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",11
인테리어 서비스,20~29세,남성,KBF 1순위,주위의 평판/입소문/후기,7
인테리어 서비스,20~29세,남성,KBF 1순위,"정보 검색 편의성 (필터, 기능 등)",8
인테리어 서비스,20~29세,남성,KBF 1순위,인테리어 관련 제품 검색 편의성,7
인테리어 서비스,20~29세,남성,KBF 1순위,"다양한 부가 서비스 제공 (인테리어 시공, 수리 등)",4
인테리어 서비스,20~29세,남성,KBF 1순위,이벤트/프로모션,6
인테리어 서비스,20~29세,남성,KBF 1순위,다양한 브랜드 입점,8
인테리어 서비스,20~29세,남성,KBF 1순위,고객 응대 서비스,9
인테리어 서비스,20~29세,남성,KBF 1순위,App 완성도 (UI 및 속도 등),4
인테리어 서비스,20~29세,남성,KBF 1순위,편의 서비스(3D 인테리어 도면 서비스 등),1
인테리어 서비스,20~29세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",3
인테리어 서비스,20~29세,남성,KBF 1순위,가격,1
인테리어 서비스,20~29세,남성,KBF 1순위,접근성,0
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",다양한 상품 판매,35
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",인테리어 제품별 디테일한 정보 제공,24
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문/후기,15
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",트렌디한 인테리어 예시 보유,23
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",32
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",인테리어 관련 제품 검색 편의성,18
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","다양한 부가 서비스 제공 (인테리어 시공, 수리 등)",12
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",이벤트/프로모션,22
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","정보 검색 편의성 (필터, 기능 등)",20
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",고객 응대 서비스,19
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",다양한 브랜드 입점,18
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",편의 서비스(3D 인테리어 도면 서비스 등),9
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",App 완성도 (UI 및 속도 등),8
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",7
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",가격,2
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",품질,0
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",배송속도,1
인테리어 서비스,20~29세,남성,"KBF 1,2,3순위 (중복응답)",접근성,0
인테리어 서비스,20~29세,남성,광고영향력,전혀 없다,0
인테리어 서비스,20~29세,남성,광고영향력,없는 편이다,14
인테리어 서비스,20~29세,남성,광고영향력,보통이다,37
인테리어 서비스,20~29세,남성,광고영향력,있는 편이다,42
인테리어 서비스,20~29세,남성,광고영향력,매우 있다,6
스킨케어,30~39세,남성,KBF 1순위,보습력/유분감,19
스킨케어,30~39세,남성,KBF 1순위,"기능성(미백, 주름개선 등)",13
스킨케어,30~39세,남성,KBF 1순위,저자극성,9
스킨케어,30~39세,남성,KBF 1순위,함유성분/원료,8
스킨케어,30~39세,남성,KBF 1순위,가격,12
스킨케어,30~39세,남성,KBF 1순위,주위의 평판/입소문,5
스킨케어,30~39세,남성,KBF 1순위,"브랜드(인지도, 이미지 등)",4
스킨케어,30~39세,남성,KBF 1순위,할인/이벤트,8
스킨케어,30~39세,남성,KBF 1순위,질감/농도,3
스킨케어,30~39세,남성,KBF 1순위,양/용량,3
스킨케어,30~39세,남성,KBF 1순위,향,0
스킨케어,30~39세,남성,KBF 1순위,전문가/인플루언서 추천,4
스킨케어,30~39세,남성,KBF 1순위,"매장(점원, 매장광고, 진열 등)",1
스킨케어,30~39세,남성,KBF 1순위,패키지/용기 편리성,0
스킨케어,30~39세,남성,KBF 1순위,"광고(스토리, 모델, 메시지)",2
스킨케어,30~39세,남성,KBF 1순위,제품 디자인,0
스킨케어,30~39세,남성,KBF 1순위,리뷰,0
스킨케어,30~39세,남성,KBF 1순위,트러블 유무,0
스킨케어,30~39세,남성,KBF 1순위,사용 경험,0
스킨케어,30~39세,남성,KBF 1순위,피부 적합도,1
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",보습력/유분감,37
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)","기능성(미백, 주름개선 등)",23
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",가격,31
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",저자극성,30
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",함유성분/원료,17
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",할인/이벤트,25
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",주위의 평판/입소문,15
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)","브랜드(인지도, 이미지 등)",15
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",양/용량,19
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",질감/농도,13
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",향,10
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",전문가/인플루언서 추천,9
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",패키지/용기 편리성,5
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)","매장(점원, 매장광고, 진열 등)",5
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",제품 디자인,2
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)","광고(스토리, 모델, 메시지)",4
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",트러블 유무,0
스킨케어,30~39세,남성,"KBF 1,2,3순위 (중복응답)",피부 적합도,1
