id,content_name,is_ott,∫–∑˘ƒ⁄µÂ,∞≥∫¿¿œ,∞®µ∂_π◊_PD,Ω√√ª¿⁄ºˆ,platform,episode_total,episode_length,cast,origin_country,lang,rating,synopsis,poster_url,ott_availability,awards,tags
61,A Lonely Place to Die,N,KDRAMA_018,2011-08-08,Julian Gilbey,444082,øµ»≠∞¸,1,99,"Ed Speleers, Eamonn Walker",UK,English,19±›,kidnapper mountaineering scotland,NA,NA,NA,"Action, Adventure, Crime"
62,A Haunted House 2,N,KDRAMA_090,2014-02-05,Michael Tiddes,73960,Theater,1,86,"Ashley Rickards, Essence Atkins",USA,English,19±›,bare breasts parody sexual innuendo,NA,NA,NA,"Comedy, Fantasy"
63,Plush,N,KVARIETY_091,2013-07-25,Catherine Hardwicke,107410,Theater,1,99,"Frances Fisher, James Kyson",USA,English,19±›,gay interest guitarist obsessed fan,NA,NA,NA,Thriller
64,X-Men: First Class,N,KVARIETY_055,2011-08-05,Matthew Vaughn,654105,Theater,1,132,"Jennifer Lawrence, Michael Fassbender",USA,English,15ºº,cia cia agent mutant,NA,NA,NA,"Action, Adventure, Sci-Fi"
65,Black Swan,N,KVARIETY_043,2010-01-08,Darren Aronofsky,975010,Theater,1,108,"Natalie Portman, Mila Kunis",USA,English,19±›,ballerina ballet fear,NA,NA,NA,"Drama, Thriller"
66,Criminal,N,KVARIETY_066,2016-05-10,Ariel Vromen,382017,øµ»≠∞¸,1,113,"Gary Oldman, Jordi Moll??",UK,English,19±›,cia husband wife relationship memory,NA,NA,NA,"Action, Crime, Drama"
67,The Pirates! Band of Misfits,N,KDRAMA_016,2012-03-04,Peter Lord,553339,øµ»≠∞¸,1,88,"Salma Hayek, Russell Tovey",UK,English,12ºº,charles darwin cutlass pirate,NA,NA,NA,"Adventure, Animation, Comedy"
68,Girl House,N,DRAMA_HORROR_GHOST,2014-12-25,Jon Knautz,21705,øµ»≠∞¸,1,99,"Camren Bicondova, Adam DiMarco",Canada,English,¿¸√º,college student disfigured face house,NA,NA,NA,"Horror, Thriller"
69,Aroused,N,MOVIE_DOC_HISTORY,2013-03-17,Deborah Anderson,578078,Theater,1,66,"Lisa Ann, Jesse Jane",USA,English,¿¸√º,aroused photography pornography documentary,NA,NA,NA,Documentary
70,Antarctica: A Year on Ice,N,DRAMA_THR_TECH,2013-05-08,Anthony Powell,79351,øµ»≠∞¸,1,91,"Josh Swanson, Tom Hamann",New Zealand,English,12ºº,antarctica,NA,NA,NA,"Adventure, Biography, Documentary"
71,Trust,N,MOVIE_ANIME_FANTASY,2010-02-17,David Schwimmer,118071,Theater,1,106,"Noah Emmerich, Jordan Trovillion",USA,English,19±›,counselor fbi revenge motive,NA,NA,NA,"Crime, Drama, Thriller"
72,Never Back Down 2: The Beatdown,N,KDRAMA_072,2011-03-28,Michael Jai White,404716,Theater,1,90,"Michael Jai White, Alex Meraz",USA,English,19±›,bad cop college second part,NA,NA,NA,"Action, Drama, Sport"
73,Haywire,N,KDRAMA_038,2011-11-13,Steven Soderbergh,99063,øµ»≠∞¸,1,93,"Channing Tatum, Michael Fassbender",Ireland,English,19±›,die hard scenario one woman army rescue,NA,NA,NA,"Action, Thriller"
74,1911,N,KDRAMA_056,2011-08-01,Li Zhang,229226,øµ»≠∞¸,1,121,"Bingbing Li, Joan Chen",China,Mandarin,19±›,china disarming someone qing dynasty,NA,NA,NA,"Action, Adventure, Drama"
75,Annabelle,N,KVARIETY_156,2014-03-21,John R. Leonetti,474095,Theater,1,99,"Alfre Woodard, Annabelle Wallis",USA,English,19±›,horror movie prequel murder paranormal activity,NA,NA,NA,"Horror, Mystery"
76,Taken 3,N,DRAMA_GEN,2014-12-14,Olivier Megaton,218847,øµ»≠∞¸,1,115,"Liam Neeson, Dougray Scott",France,English,15ºº,betrayal death final showdown,NA,NA,NA,"Action, Thriller"
77,Muppets Most Wanted,N,DRAMA_CRIME_CORRUPTION,2014-02-07,James Bobin,439324,Theater,1,119,"Ty Burrell, Tina Fey",USA,English,12ºº,europe frog gulag,NA,NA,NA,"Adventure, Comedy, Crime"
78,Think Like a Man Too,N,KDRAMA_055,2014-07-23,Tim Story,417449,Theater,1,106,"Romany Malco, Regina Hall",USA,English,15ºº,african american imperative in title las vegas nevada,NA,NA,NA,"Comedy, Romance"
79,Fun Size,N,KDRAMA_039,2012-02-17,Josh Schwartz,214620,Theater,1,86,"Thomas McDonell, Jackson Nicoll",USA,English,15ºº,adult humor best friend friend,NA,NA,NA,"Adventure, Comedy"
80,Cop Out,N,KDRAMA_061,2010-10-18,Kevin Smith,218182,Theater,1,107,"Bruce Willis, Tracy Morgan",USA,English,19±›,baseball card detective partner,NA,NA,NA,"Action, Comedy, Crime"
81,It's a Wonderful Afterlife,N,KVARIETY_079,2010-08-22,Gurinder Chadha,138184,øµ»≠∞¸,1,100,"Sendhil Ramamurthy, Mark Addy",UK,English,15ºº,afterlife indian murder,NA,NA,NA,"Comedy, Drama, Horror"
82,Furious 7,N,DRAMA_THR_POLICE,2015-06-21,James Wan,391789,Theater,1,140,"Jason Statham, Paul Walker",USA,English,15ºº,car falling off a cliff hospital revenge,NA,NA,NA,"Action, Crime, Thriller"
83,Dracula Untold,N,KVARIETY_137,2014-03-20,Gary Shore,334846,Theater,1,92,"Dominic Cooper, Sarah Gadon",USA,English,15ºº,death of wife dracula tarantula,NA,NA,NA,"Action, Drama, Fantasy"
84,Ex Machina,N,KDRAMA_015,2015-08-03,Alex Garland,391310,øµ»≠∞¸,1,108,"Elina Alminas, Sonoya Mizuno",UK,English,19±›,artificial intelligence robot robot human relationship,NA,NA,NA,"Drama, Mystery, Sci-Fi"
85,The Monuments Men,N,DRAMA_ROM_GL,2014-01-13,George Clooney,243539,Theater,1,118,"Bill Murray, Matt Damon",USA,English,15ºº,art art expert nazi stolen art,NA,NA,NA,"Drama, War"
86,Godzilla Resurgence,N,DRAMA_WORK_POLICE,2016-11-17,Hideaki Anno,268972,øµ»≠∞¸,1,120,"Mark Chinnery, Shin'ya Tsukamoto",Japan,Japanese,¿¸√º,blood godzilla monster,NA,NA,NA,"Action, Adventure, Drama"
87,50/50,N,KDRAMA_002,2011-05-23,Jonathan Levine,495110,Theater,1,100,"Joseph Gordon-Levitt, Anna Kendrick",USA,English,19±›,best friend cancer survival rate,NA,NA,NA,"Comedy, Drama, Romance"
88,Indie Game: The Movie,N,KDRAMA_026,2012-05-21,Lisanne Pajot,331219,øµ»≠∞¸,1,103,"Jonathan Blow, Edmund McMillen",Canada,English,¿¸√º,movie in title,NA,NA,NA,Documentary
89,Diary of a Wimpy Kid: Rodrick Rules,N,MOVIE_DOC_HISTORY,2011-09-21,David Bowers,446790,Theater,1,99,"Zachary Gordon, Rachael Harris",USA,English,12ºº,brother middle school no opening credits,NA,NA,NA,"Comedy, Family"
90,Before I Go to Sleep,N,KVARIETY_160,2014-02-17,Rowan Joffe,340118,øµ»≠∞¸,1,92,"Colin Firth, Ben Crompton",UK,English,19±›,amnesia female nudity infidelity,NA,NA,NA,"Drama, Mystery, Thriller"
91,August,N,DRAMA_FANTASY_WEREWOLF,2011-10-15,Eldar Rapaport,427286,Theater,1,99,"Murray Bartlett, Adrian Gonzalez",USA,English,¿¸√º,apartment gay parent job interview,NA,NA,NA,"Drama, Romance"
92,Wanderlust,N,KVARIETY_091,2012-09-20,David Wain,239566,Theater,1,98,"Justin Theroux, Lauren Ambrose",USA,English,19±›,childbirth female frontal nudity nude protest,NA,NA,NA,Comedy
93,Let's Kill Ward's Wife,N,MOVIE_ANIME_ROMANCE,2014-07-24,Scott Foley,225122,Theater,1,82,"Donald Faison, Greg Grunberg",USA,English,¿¸√º,apology death group of friends,NA,NA,NA,"Comedy, Crime"
94,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,N,KVARIETY_136,2013-12-18,Craig Moss,78159,Theater,1,80,"French Stewart, Ashley Martin",USA,English,19±›,exorcism female nudity haunted house,NA,NA,NA,Comedy
95,Green Street 3: Never Back Down,N,KVARIETY_017,2013-11-01,James Nunn,147505,øµ»≠∞¸,1,93,"Spencer Wilding, Mark Wingett",UK,English,19±›,bare breasts firm hooliganism,NA,NA,NA,"Action, Drama"
96,Go for It!,N,KDRAMA_039,2011-07-24,Carmen Marron,548759,Theater,1,105,"Jossara Jinaro, Aimee Garcia",USA,English,15ºº,exclamation point in title imperative in title punctuation in title,NA,NA,NA,"Drama, Musical"
97,Our Brand Is Crisis,N,MOVIE_THR_CRIME,2015-06-10,David Gordon Green,260711,Theater,1,107,"Dominic Flores, Zoe Kazan",USA,English,19±›,bolivia box office flop inspired by documentary,NA,NA,NA,"Comedy, Drama"
98,Fast Five,N,KDRAMA_009,2011-08-08,Justin Lin,474806,Theater,1,132,"Paul Walker, Vin Diesel",USA,English,15ºº,drug lord drugs federal agent,NA,NA,NA,"Action, Crime, Thriller"
99,22 Jump Street,N,MOVIE_COM_FAMILY,2014-05-08,Phil Lord,344213,Theater,1,112,"Channing Tatum, Craig Roberts",USA,English,19±›,college drugs hidden camera,NA,NA,NA,"Action, Comedy, Crime"
100,Spring Breakers,N,MOVIE_SPORTS_ICE,2012-10-24,Harmony Korine,144553,Theater,1,94,"James Franco, Heather Morris",USA,English,19±›,kissing a dead body repeated dialogue sex in pool,NA,NA,NA,"Crime, Drama"
101,Transcendence,N,KDRAMA_090,2014-07-08,Wally Pfister,334486,øµ»≠∞¸,1,119,"Johnny Depp, Morgan Freeman",UK,English,15ºº,artificial intelligence consciousness power outage,NA,NA,NA,"Drama, Mystery, Romance"
102,Soul Surfer,N,KVARIETY_156,2011-08-08,Sean McNamara,148073,Theater,1,106,"Dennis Quaid, Chris Brochu",USA,English,12ºº,christian christian film shark,NA,NA,NA,"Biography, Drama, Family"
103,Krampus,N,DRAMA_CRIME_ORGANIZED,2015-11-23,Michael Dougherty,469187,Theater,1,98,"Adam Scott, Conchata Ferrell",USA,English,15ºº,christmas german holiday,NA,NA,NA,"Comedy, Fantasy, Horror"
104,Max,N,DRAMA_WORK_MILITARY,2015-07-05,Boaz Yakin,420033,Theater,1,111,"Jay Hernandez, Joseph Julian Soria",USA,English,12ºº,afghanistan death of marine dog,NA,NA,NA,"Adventure, Family"
105,Meek's Cutoff,N,KDRAMA_050,2010-04-18,Kelly Reichardt,583360,Theater,1,104,"Bruce Greenwood, Zoe Kazan",USA,English,12ºº,desert oregon survival,NA,NA,NA,"Drama, Western"
106,Hugo,N,MOVIE_SF_PARALLEL,2011-02-16,Martin Scorsese,440670,Theater,1,126,"Chlo?? Grace Moretz, Christopher Lee",USA,English,12ºº,automaton mechanical railway station,NA,NA,NA,"Adventure, Drama, Family"
107,Wreck-It Ralph,N,KDRAMA_014,2012-04-03,Rich Moore,356852,Theater,1,101,"Jack McBrayer, Sarah Silverman",USA,English,12ºº,arcade candy glitch,NA,NA,NA,"Adventure, Animation, Comedy"
108,The Dilemma,N,KVARIETY_067,2011-06-10,Ron Howard,472030,Theater,1,111,"Channing Tatum, Clint Howard",USA,English,15ºº,best friend friend investigation,NA,NA,NA,"Comedy, Drama"
109,Oz the Great and Powerful,N,MOVIE_ANIME_SF,2013-04-01,Sam Raimi,327292,Theater,1,130,"Tim Holmes, Mila Kunis",USA,English,12ºº,circus magic magician,NA,NA,NA,"Adventure, Family, Fantasy"
110,Kung Fu Killer,N,MOVIE_CRIME_ORGANIZED,2014-09-06,Teddy Chan,150946,øµ»≠∞¸,1,100,"Siu-Wong Fan, Charlie Yeung",China,Cantonese,¿¸√º,fight kung fu martial arts,NA,NA,NA,"Action, Drama"
111,Dolphin Tale,N,KVARIETY_150,2011-07-11,Charles Martin Smith,359127,Theater,1,113,"Morgan Freeman, Michael Roark",USA,English,12ºº,boy dolphin prosthetics,NA,NA,NA,"Drama, Family"
112,"For a Good Time, Call...",N,DRAMA_SOC_CORRUPTION,2012-09-12,Jamie Travis,489704,Theater,1,88,"James Wolk, Ari Graynor",USA,English,19±›,friend friendship gay,NA,NA,NA,Comedy
113,The Young Messiah,N,KVARIETY_065,2016-05-03,Cyrus Nowrasteh,193649,Theater,1,111,"Clive Russell, Vincent Walsh",USA,English,15ºº,based on novel,NA,NA,NA,Drama
114,Southpaw,N,DRAMA_HORROR_OCCULT,2015-04-14,Antoine Fuqua,288589,Theater,1,124,"Jake Gyllenhaal, 50 Cent",USA,English,19±›,boxer boxing training death of wife,NA,NA,NA,"Drama, Sport"
115,Sherlock Holmes: A Game of Shadows,N,KDRAMA_062,2011-05-11,Guy Ritchie,502141,Theater,1,129,"Robert Downey Jr., Eddie Marsan",USA,English,15ºº,factory gypsy investigation,NA,NA,NA,"Action, Adventure, Crime"
116,Your Highness,N,DRAMA_ROM_LONGDIST,2011-06-21,David Gordon Green,334703,Theater,1,102,"Natalie Portman, Zooey Deschanel",USA,English,19±›,knight prince quest,NA,NA,NA,"Adventure, Comedy, Fantasy"
117,Good Deeds,N,KVARIETY_032,2012-08-14,Tyler Perry,340319,Theater,1,110,"Eddie Cibrian, Phylicia Rashad",USA,English,15ºº,businessman fight mean brother,NA,NA,NA,"Comedy, Drama, Romance"
118,The Lost Medallion: The Adventures of Billy Stone,N,KVARIETY_122,2013-09-12,Bill Muir,247633,øµ»≠∞¸,1,97,"Alex Kendrick, Jansen Panettiere",Thailand,English,12ºº,cave cobra island,NA,NA,NA,"Adventure, Family, Fantasy"
119,Harry Potter and the Deathly Hallows: Part II,N,KDRAMA_010,2011-07-25,Matt Birch,384400,øµ»≠∞¸,1,94,"Rupert Grint, Dave Legeno",UK,English,¿¸√º,A film titled Harry Potter and the Deathly Hallows: Part II.,NA,NA,NA,"Action, Fantasy"
